"","Albania","Argentina","Australia","Austria","Belgium","Brazil","Bulgaria","Cambodia","Canada","Chile","Colombia","Croatia","Czech Republic","Denmark","Egypt","Estonia","Finland","France","Germany","Greece","Hong Kong","Hungary","Iceland","India","Indonesia","Ireland","Israel","Italy","Japan","Latvia","Lithuania","Luxembourg","Macao","Malaysia","Mexico","Morocco","Netherlands","New Zealand","Norway","Philippines","Poland","Portugal","Republic of Korea","Romania","Russia","Saudi Arabia","Serbia","Singapore","Slovakia","Slovenia","South Africa","Spain","Sweden","Switzerland","Taiwan","Thailand","Turkey","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Vietnam"
"Albania",0,0.325642344276881,0.363938043931612,0.345256819776738,0.340314084952514,0.332824406676982,0.280802536874221,0.427343805102085,0.301337354300787,0.339994079125593,0.309439779653896,0.343284779060986,0.332332607821164,0.310875553300819,0.308892900890253,0.337459087593774,0.311803537654698,0.335607479114273,0.334815278044586,0.322997806614402,0.361069596284509,0.353128719659813,0.36232763845922,0.311484127209531,0.319980599482085,0.376011213140645,0.295046221605523,0.37015536612774,0.386426658962289,0.322537741006244,0.323978991560113,0.317856584049056,0.430989989134181,0.341600941928717,0.310319423261676,0.344867687218799,0.343670499158643,0.368665113309739,0.331095465128483,0.323926245829523,0.295466106247555,0.358884609398895,0.393549907127182,0.289779732935089,0.288508339553951,0.33760901075823,0.307332908497635,0.3502381953973,0.305433500823857,0.367219720687184,0.304475727163514,0.377879860077444,0.356711019851806,0.345324749097735,0.464841087081578,0.370937679908763,0.328565745159549,0.299381231586842,0.334318769725123,0.351844789270032,0.315773234620171,0.340243348938578,0.35210419057994
"Argentina",NA,0,0.316278777876048,0.258052993637829,0.256178022366748,0.323633104350451,0.262028527813108,0.5163788407791,0.268326867749898,0.209552717375943,0.269642876665592,0.295387479893209,0.26291938868124,0.386150382621438,0.359088996899768,0.312419892188339,0.317665724349287,0.295533178130107,0.30822911527278,0.272997255440915,0.449531785502146,0.260928449755987,0.339080925038973,0.256224605512984,0.436772375171308,0.244194418855394,0.274826639109089,0.284939998964366,0.52864648800495,0.342467012733768,0.3020779779534,0.303206169447924,0.319165878127428,0.262427645476944,0.35400557007424,0.242802150558012,0.33849293714716,0.305795769475874,0.304923524917194,0.243053545458162,0.284671572182671,0.277032176902653,0.506346899902467,0.25172925644738,0.344701966852865,0.299999554537706,0.331811535204951,0.325985644013922,0.281272000614918,0.298313045319312,0.31628453857824,0.284038209472154,0.449195607111878,0.283115715907761,0.441798900712978,0.441726491783616,0.275609524725442,0.336826082969141,0.282994569560384,0.255579783694116,0.41112467968001,0.247792695747973,0.511636423374813
"Australia",NA,NA,0,0.286580177688566,0.263903132929446,0.337559944500648,0.274387650114181,0.529444630713168,0.239104078478976,0.296022336718379,0.285496368797215,0.345332254511953,0.281352461630177,0.337919467974835,0.366238418872226,0.326819822101761,0.326403282105223,0.337862493438868,0.283259074405755,0.318913169894484,0.422049822907186,0.301672978029305,0.361903996029482,0.283306716152525,0.384914840442616,0.238833866648335,0.339320188540207,0.317342569658864,0.384320846986461,0.337736881321252,0.351713427342654,0.308762675528303,0.44386396436646,0.267736692110477,0.302668850018382,0.262053665916104,0.272951438169761,0.278472268432322,0.327074974478247,0.263354290088378,0.340138700797898,0.328397959086308,0.431686239316453,0.272381567501285,0.33006263828091,0.275905819138989,0.305988698926121,0.278569594935604,0.306817053550761,0.325212912441063,0.307726631752623,0.296862739294699,0.397146710369128,0.27030558822394,0.494935255893208,0.470125479709348,0.318016266954321,0.300008221626474,0.262705907394826,0.242489168235433,0.310371885950453,0.294991463729488,0.412093480997312
"Austria",NA,NA,NA,0,0.194192310362441,0.367366043757572,0.264321751942569,0.538898017759711,0.24050517272977,0.237449891221912,0.266361661962904,0.270004588727717,0.213142391359251,0.363308463829577,0.402971454492301,0.301535072685887,0.280368180162767,0.245753050275051,0.238118541741748,0.200145898452748,0.445928776479208,0.206733989059763,0.30788328782643,0.298799892516744,0.433968048913033,0.247502904427605,0.2385771623379,0.244343008206444,0.45499938844763,0.322173668069016,0.232679686629725,0.230279977545896,0.373012410606297,0.24014437031452,0.378848237082989,0.259536348610438,0.314523220378645,0.243611650573746,0.26045943175053,0.267822109272749,0.231911734126715,0.254790886521174,0.472106583524806,0.228092973065651,0.354652245911051,0.321854773514612,0.306911063203465,0.307728503322119,0.22562263904413,0.231593733856041,0.313460379295561,0.239773562622238,0.418562971572876,0.220788870400236,0.460802084588866,0.491028474890975,0.22911554329461,0.327456320468767,0.302248317072271,0.250793088977661,0.38858713431836,0.265522481348648,0.465124525421127
"Belgium",NA,NA,NA,NA,0,0.328931305169057,0.265016262805876,0.546016025271811,0.224920048486216,0.231895606560703,0.247166528569751,0.26323229432232,0.189559486893474,0.32783504937592,0.391026158832606,0.270875094862016,0.264012363558674,0.218257588171555,0.237408893710747,0.21546389342738,0.425618486306357,0.198988855042917,0.31077157810008,0.297521305967317,0.417826646428674,0.223813636434088,0.239765617354478,0.215821524854694,0.426364959203303,0.302082333131181,0.226626636606825,0.21272456484323,0.363635661661472,0.235589703283033,0.335313103067213,0.260914034838929,0.284015632175333,0.224144013963909,0.253734060782681,0.229528090625086,0.236264625957278,0.245096595785934,0.455471181544136,0.223045473636527,0.346448671489619,0.323378553504358,0.311328300444468,0.279133530114035,0.21366589307312,0.227984584348345,0.302297920324962,0.217428376486211,0.418959229471836,0.211336613549354,0.467580735961519,0.468586369441374,0.229582254961728,0.322094648945188,0.311231846467066,0.223767777690567,0.358147128667869,0.274913232269869,0.468092299760277
"Brazil",NA,NA,NA,NA,NA,0,0.327171886006148,0.565364066333071,0.313394927046416,0.350817613159199,0.376798875578403,0.397806124532851,0.322139957358509,0.240965075189462,0.296115162673254,0.3066748767616,0.372702401260633,0.385331790541625,0.303380794284392,0.388697084251744,0.366389029234966,0.362194927316369,0.345376911743842,0.305138563504724,0.33781048005285,0.296690959687954,0.382230668298841,0.370928470394323,0.360487436333143,0.363956519279668,0.397453848109754,0.37574701141978,0.364423436545528,0.378178345707924,0.226283444348551,0.320963262712859,0.24873010559673,0.379599090428828,0.344980370186392,0.328634735221065,0.394058561533388,0.402104803493691,0.424203135505153,0.376262745659742,0.296587134115803,0.347760814316345,0.341922446895072,0.3034546370069,0.363636384867308,0.39239263079169,0.415409084582312,0.378811999483493,0.357936814358187,0.34466993322402,0.568342533091203,0.395532618447748,0.385748781495809,0.289368990693047,0.330481525336036,0.285518882110277,0.281783774938939,0.280055128185552,0.44355938983706
"Bulgaria",NA,NA,NA,NA,NA,NA,0,0.533664114583719,0.245664898073539,0.282322392923771,0.285851387622441,0.270624473391414,0.247388042092087,0.302106599089097,0.337875912463507,0.254805789816726,0.256479651743012,0.30567727921254,0.310302390992671,0.254340870084789,0.458494655944799,0.258865856626049,0.366856869418161,0.278241008679403,0.406015242035864,0.268995406036571,0.27455535533361,0.307893449682299,0.456676350819211,0.26223910290508,0.285070377729609,0.304480922632504,0.427741832065854,0.267564216221785,0.32670792796857,0.265108109967406,0.310534258847488,0.316314399370533,0.2863659669468,0.285971778352983,0.279972371878312,0.307173674559875,0.492213560943387,0.237558004402451,0.252409374736285,0.296167220261365,0.308955494455603,0.289425419638732,0.264853185140275,0.285913940566593,0.322967471538424,0.315451435007756,0.332827527605505,0.26526408890194,0.50502745351089,0.476152896520496,0.281504555749363,0.266717506060617,0.288920720797592,0.290960842123707,0.323126307054474,0.274878668159193,0.42171088771926
"Cambodia",NA,NA,NA,NA,NA,NA,NA,0,0.485561456169369,0.497786972941046,0.499377894182796,0.581254280634712,0.556730124097618,0.501910691768072,0.494385307121724,0.555151130973821,0.486316970021049,0.484305204885176,0.523469056690358,0.521870932522686,0.540911143281371,0.567987259531543,0.419373546317359,0.522811936161483,0.488663055147191,0.575458061571701,0.522996717333367,0.503311989457063,0.535016992166126,0.520921879459359,0.529374640903345,0.490845683178664,0.500271653743946,0.537341752829534,0.532305713341403,0.548174894352965,0.536436278367018,0.47233933501729,0.513404106313767,0.518481785201801,0.504928047879912,0.520061796245366,0.500698891533635,0.524361466562085,0.534368593276922,0.470880666038623,0.459251954169987,0.544308503887946,0.506143752746302,0.562825547368254,0.514340899601627,0.51111933679084,0.45893819053241,0.48840863808045,0.518268073350021,0.451310606988037,0.513781639270066,0.525326422506794,0.496872881127851,0.55141323745149,0.520938537674847,0.536270697887247,0.434907060084698
"Canada",NA,NA,NA,NA,NA,NA,NA,NA,0,0.256148108765905,0.284684108328406,0.291685839488937,0.240350240967284,0.288313995940895,0.338516529689838,0.28177798176266,0.269114720862931,0.272673875154744,0.227638543207343,0.253342911232185,0.473194838320666,0.252491001483517,0.329775618662336,0.274481752433644,0.435360251182654,0.231760857672606,0.286997918476213,0.273058897464684,0.427786710552179,0.302665446775792,0.275694535165801,0.248643710887249,0.445123543341875,0.263187933248427,0.308000904480172,0.264612530252859,0.245717618639712,0.263072887319152,0.247470394865697,0.263036738150773,0.265009935795654,0.297315697884854,0.498221410140451,0.231389424806382,0.320431259294588,0.241966083991149,0.322755688605126,0.302597959662929,0.243089686168134,0.293411047724965,0.32886409741486,0.279347705945204,0.357276138646446,0.212052650865017,0.452001293385167,0.500344906896306,0.279801308270368,0.295687881256308,0.23146848873938,0.217530771132755,0.327727708516445,0.247408060090454,0.43168977837031
"Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.234467235398175,0.295997140194399,0.255509704105684,0.396273606097979,0.367449701891317,0.326653679492516,0.319405993909789,0.281239964104749,0.289723873722332,0.252505008023564,0.430243021685451,0.238546730306454,0.323893800850251,0.265928598576299,0.434287048084425,0.248898310091656,0.260024731921198,0.26831984849364,0.499219348506873,0.343804078194288,0.275862105963905,0.275107033354383,0.308158151038821,0.245973772911512,0.35592922887163,0.244126737237816,0.334770304665679,0.269870419460922,0.308210046219386,0.220762030436244,0.264001591321042,0.260192479284381,0.488846218595887,0.238317967892319,0.352649791250839,0.306910443390804,0.330460163006626,0.306984060651099,0.265466329989775,0.266372376216628,0.286997806636656,0.258042553143098,0.461642788119686,0.272147293350057,0.449588452359619,0.441777397358317,0.250675767304083,0.342699533470143,0.287072352631159,0.252305224580846,0.405776167999138,0.260448342676872,0.494523894056796
"Colombia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.321328966668686,0.265145922032822,0.400945345179422,0.387448266933188,0.358226648764821,0.313096612846481,0.266524818855548,0.311775820290682,0.263746618337614,0.389563714220158,0.261995913233355,0.369540291221551,0.296254036945091,0.443349142576651,0.292288175304589,0.230137204427769,0.266977826074285,0.459307542699668,0.353167490906241,0.264031324175116,0.253001196412856,0.418841776702522,0.260864449446245,0.362132061470385,0.281472404356656,0.350759424313475,0.243524572552503,0.345631986489853,0.20953054571029,0.245468679299483,0.243346200186972,0.433796005800789,0.248830663621591,0.361372762373858,0.308621193948926,0.302810008974532,0.281580453232036,0.236584804339955,0.27517167503822,0.239645850190944,0.24383452531396,0.461579579817706,0.282035852140644,0.453640260933053,0.453709248077859,0.241012395343511,0.338455428285398,0.30062389771872,0.284582923264982,0.398776209324866,0.333080830632808,0.416760708098048
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.247575656407999,0.388225498678942,0.423339677859956,0.279713552716531,0.321550120912496,0.285805445826584,0.325853576550531,0.262057610344791,0.524596823156947,0.253907821699036,0.366984763355177,0.350368403866518,0.469187892484762,0.302876798476832,0.289180973413373,0.29082352923557,0.568097514847742,0.303503196089345,0.266250111463604,0.304209155422584,0.370268843916134,0.286566411653998,0.397086153767599,0.286461311082268,0.376302459068242,0.337271979538183,0.277631824579838,0.300192898144788,0.288114879140053,0.301104315375096,0.588280476504662,0.246500573334135,0.328397760783283,0.387877117996988,0.334348376349153,0.362340690628628,0.29011010333699,0.239161371252075,0.358335475479423,0.299823964246995,0.457991829501513,0.309008717438341,0.515535274965005,0.525104806788211,0.275096441107394,0.351848931173365,0.385986916605293,0.32867381784546,0.407019202388991,0.31283170726429,0.488476856485887
"Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.320634387490169,0.40318240731584,0.254634139242962,0.268784082937662,0.239380928444734,0.249793345941717,0.216469929393973,0.438795326454165,0.189662155634285,0.33488303787944,0.297050926414076,0.433431789931384,0.240964018134245,0.2295586447278,0.227579903274751,0.424634921529605,0.30031586041419,0.226718729502448,0.232095607054707,0.383628556718111,0.254835099216616,0.342977120647992,0.265834441815057,0.311490598079035,0.251712774483538,0.24721183258093,0.241463661181737,0.235508659583169,0.250436872510726,0.473670741348136,0.222443234613699,0.325477626381103,0.336765941997873,0.299719763716242,0.284539321415195,0.213941916218254,0.226343950449326,0.303896063342002,0.236949967027171,0.397178099881804,0.226832931912506,0.484932196221755,0.465443282401156,0.230370433616086,0.315538446166249,0.325673867586451,0.257904036209242,0.357483823425827,0.27495435315422,0.477676633054603
"Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.291724252521071,0.269194154763967,0.295463694702963,0.376786515726681,0.27829560644383,0.372306797986579,0.438322731634553,0.365586836065759,0.329931467516426,0.327692296093389,0.342722586152318,0.331492250518995,0.397549722542985,0.378352413587317,0.351710059663975,0.302687117411,0.377917611082835,0.358625253744572,0.461383732307631,0.38476122789482,0.278220509849283,0.356798297316797,0.236392244283995,0.3696800484813,0.289542842551787,0.393359219506281,0.380710974969884,0.434056468160347,0.471850593383485,0.359213394792189,0.294113618973393,0.339178388387847,0.33955123154008,0.328691677136897,0.337807692821718,0.412065238226359,0.430367675378498,0.39528136264314,0.262364303122063,0.302767725041739,0.4480008836603,0.405081539528918,0.398679529394478,0.261460364012164,0.329574245430038,0.311481127630746,0.266155089936586,0.285010438671389,0.37202332407461
"Egypt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.372747268076489,0.388539669415392,0.407957816964861,0.366177321069357,0.389737258838935,0.457922818723917,0.402558254483368,0.34017700308713,0.284248847846972,0.299402392449654,0.349256677010852,0.407845899079015,0.440749554947476,0.446419621094272,0.378447251917521,0.407405290648661,0.40515989520877,0.420788611891029,0.351142686007019,0.309441733229094,0.32223910453834,0.298591030401775,0.419585723200916,0.372083000608343,0.367800750854195,0.40267652326906,0.441738731001905,0.483611723266016,0.343865810049921,0.326342371389361,0.322190641524297,0.366638422616895,0.390031502229004,0.388435478948525,0.427749190454301,0.394803840686404,0.430459981346263,0.312076098369078,0.361133996887443,0.53207279948123,0.381612193543982,0.40296414919609,0.276988950136947,0.318670675058601,0.336072719544256,0.27119011461624,0.315332839642307,0.332540390236734
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.256624677281172,0.291431695387903,0.30497402407422,0.301094614040256,0.468771385465448,0.286526189403806,0.290002885371848,0.341376535309799,0.416678355099653,0.276983841473312,0.33499710008151,0.308690501269585,0.43564096241765,0.214351996002811,0.294209062845251,0.313775998479936,0.357086472872674,0.299006315886196,0.323379094600217,0.31786309886103,0.31369869197192,0.327130394122739,0.240956657889368,0.323399681165708,0.322886782980443,0.34603202560399,0.514413733503487,0.300217387628268,0.257480971218605,0.38632477979825,0.348745121528274,0.281153586318006,0.291859760336117,0.310912149419624,0.387830541150059,0.32661346262772,0.353341969503118,0.28058477943642,0.507378158515473,0.460397024183258,0.323231576171593,0.336264999920905,0.344548244994182,0.304028872205453,0.356825415379417,0.294934576714546,0.443787451795681
"Finland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.273498698382125,0.298490003631332,0.273489385403884,0.467939052124658,0.272022762894628,0.318887252363196,0.34988631763829,0.438629328887364,0.32798843167897,0.302355997194081,0.305068093059754,0.440555941677927,0.241736955725451,0.264792093535521,0.276174828185994,0.457420793432116,0.295866981445543,0.363256304247397,0.347582149282746,0.319155932210571,0.299890005930332,0.266637738907859,0.329362994100361,0.268742419722221,0.321576782026432,0.501517074787353,0.272698057649755,0.331502678341056,0.331834409626161,0.346321376694841,0.314513904120515,0.239098697541444,0.30916436521602,0.359171336273338,0.328371441749852,0.313767068306143,0.254031809114663,0.463066086854043,0.492383363931492,0.295177020255447,0.344724672657646,0.305924529869661,0.325749465564209,0.400153944675937,0.305728035511727,0.471291566254287
"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.286509319241434,0.219599716087522,0.473378589439414,0.244275323748136,0.291536901314108,0.356400659407923,0.447661459719336,0.285686533935624,0.2298393229165,0.17840498772235,0.464013150612045,0.324135772314979,0.205382305797453,0.186773973587953,0.344854502506895,0.270527116983966,0.389911797757178,0.319918257157169,0.354716352196367,0.19722569327056,0.278432365364747,0.26191767263874,0.216581233832335,0.223151253571058,0.505258969997032,0.251910534828051,0.378375052951157,0.359283004799421,0.332344120719473,0.308996403173763,0.213072213909071,0.238705946997961,0.278520634405493,0.193193934456395,0.422922475879446,0.266965393144507,0.431938508096025,0.467587556199682,0.219224541238202,0.3829877187073,0.349909587989926,0.300338769213189,0.424324138215477,0.321877953110145,0.459330034055038
"Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.275768487719518,0.465942479287967,0.275884845722183,0.331166484125551,0.284335640373317,0.438923215169184,0.25955656435041,0.30108071999639,0.297450434400403,0.390406089050729,0.350675669706744,0.288078789984645,0.258275940978866,0.447533930012317,0.308022103583656,0.325343622883615,0.280767855873122,0.237780675650953,0.283197947384755,0.231773280714889,0.309737672811651,0.284237494074857,0.331404680216645,0.474941834783431,0.28002425561219,0.365216866054744,0.288913804192788,0.316697885264646,0.332491280765833,0.268601825558812,0.314315213986904,0.371674177008636,0.29942423511754,0.351591986986449,0.222585923234304,0.439160697903,0.514884794676217,0.304319649713813,0.297764789626887,0.274305848597198,0.22720730044618,0.327886218715114,0.234614671384387,0.454590134622357
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.46214709598072,0.212651493953856,0.301367134099846,0.31043880430302,0.444240563412666,0.277446687849219,0.216553076489417,0.23032012646092,0.501917786190113,0.315628051240173,0.209575654599053,0.211395738013581,0.373998639249833,0.235029290667419,0.391551965779531,0.272195064372948,0.354544309835976,0.237225912171188,0.265453186833818,0.258986189997874,0.2059036997519,0.241623151231545,0.499390759857854,0.220079015858492,0.338095849334813,0.337300514619555,0.313278450340449,0.311001842878631,0.207112629955078,0.216805486164064,0.282417062883704,0.231501323960424,0.41853030106888,0.240825286596017,0.440768121240883,0.475596335194542,0.208702311120666,0.332569832691769,0.33293984036452,0.288055214136665,0.4052144524477,0.278409104455813,0.457230958152827
"Hong Kong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.432658961326307,0.361362781929843,0.403523546085326,0.3741451570158,0.443814978996115,0.391102790453223,0.453154343654822,0.418612015505609,0.473506281717111,0.443264415922841,0.450538781537135,0.456859031878025,0.424482556988931,0.391216592522183,0.42617995907778,0.440604126861067,0.463553213782321,0.4657301062428,0.437482190668559,0.46187426183309,0.432240481907253,0.384404483427498,0.479178950268742,0.467804164590726,0.52341150659422,0.33173983675036,0.378484223118474,0.446838017258488,0.440035542999177,0.404901336298165,0.459559194030562,0.532405401488525,0.472050143418251,0.417721503545421,0.387489476972767,0.446126458531926,0.444219906467173,0.462689740371634,0.423655492754039,0.45192598775233,0.433274469363181,0.474030090123158
